Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB00101,259250,664760,-4.250145,55.855471,97,3,1,1,02/01/2005,1,15:05:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,,1,2005
200597AB00103,259710,665280,-4.243071,55.860273,97,3,1,1,01/03/2005,3,14:50:00,926,S12000043,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,,3,2005
200597AB00105,258840,665800,-4.257231,55.864688,97,3,1,2,03/05/2005,3,14:40:00,926,S12000043,6,0,2,30,9,2,6,0,0,4,1,1,1,0,0,1,1,,5,2005
200597AB00111,259030,665760,-4.254177,55.864384,97,3,1,1,03/11/2005,5,10:35:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,1,2,2,0,0,1,2,,11,2005
200597AB00203,259260,664810,-4.250011,55.855922,97,3,1,1,01/03/2005,3,12:00:00,926,S12000043,6,0,6,30,3,2,6,0,0,4,1,1,2,0,0,1,1,,3,2005
200597AB00207,258720,665750,-4.259121,55.864204,97,2,1,1,02/07/2005,7,00:30:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,4,1,1,0,0,1,1,,7,2005
200597AB00210,258670,665940,-4.260018,55.865895,97,3,1,1,02/10/2005,1,12:00:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,1,1,1,0,0,1,2,,10,2005
200597AB00301,260080,665730,-4.237397,55.864421,97,3,2,1,04/01/2005,3,10:25:00,926,S12000043,6,0,6,30,3,2,6,0,0,5,1,1,2,1,0,1,1,,1,2005
200597AB00302,258650,665130,-4.259915,55.858617,97,2,1,1,02/02/2005,4,13:40:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,2,2005
200597AB00306,259180,665390,-4.251589,55.861106,97,3,1,1,05/06/2005,1,03:05:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,4,1,1,0,0,1,1,,6,2005
200597AB00401,258850,665400,-4.256863,55.8611,97,3,1,1,03/01/2005,2,13:55:00,926,S12000043,6,0,2,30,3,4,6,0,0,0,1,1,2,0,0,1,2,,1,2005
200597AB00403,258580,665160,-4.261048,55.858866,97,3,2,1,02/03/2005,4,20:20:00,926,S12000043,6,0,6,30,6,2,6,0,0,0,5,1,1,1,0,1,1,,3,2005
200597AB00404,259260,664810,-4.250011,55.855922,97,3,2,1,02/04/2005,7,17:45:00,926,S12000043,6,0,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,,4,2005
